id,first_last,province,district,gender,year_of_birth,year_of_death,place_of_birth,career,religion,type,mmd,year,candidate_votes,total_valid_votes,candidate_percent,margin,exit_year,party,minister_after_election,pre_relative,post_relative,familytie1name,familytie1link,familytie2name,familytie2link,familytie3link,familytie3name,familytie4link,familytie4name,familytie5link,familytie5name,familytie6link,familytie6name,familytie7link,familytie7name,familytie8link,familytie8name,familytie9link,familytie9name,familytie10link,familytie10name,familytie11link,familytie11name,familytie12link,familytie12name,familytie13link,familytie13name
1,michael_adams,New Brunswick,northumberland,m,1845,1899,newbrunswick,business,NA,election,1,1870,976,6497,15.02231799,3.37,1874,Conservative,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,michael_adams,New Brunswick,northumberland,m,1845,1899,newbrunswick,business,NA,election,1,1878,1979,7625,25.95409836,13.84,1887,Conservative,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,michael_adams,New Brunswick,northumberland,m,1845,1899,newbrunswick,business,NA,election,1,1882,1856,6805,27.27406319,14.58,1887,Conservative,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,michael_adams,New Brunswick,northumberland,m,1845,1899,newbrunswick,business,NA,election,1,1886,2027,10582,19.15516916,4,1887,Conservative,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,miles_agar,New Brunswick,saintjohncity,m,1858,1944,newbrunswick,business,NA,election,1,1925,7326,57380,12.76751481,1.7,1935,Conservative,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,miles_agar,New Brunswick,saintjohncity,m,1858,1944,newbrunswick,business,NA,election,1,1930,8613,55563,15.50132282,6.12,1935,Conservative,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,john_agnew,New Brunswick,NA,m,1727,1812,unitedstates,religion,anglican,election,NA,1792,NA,NA,NA,NA,1795,NA,NA,0,1,stair_agnew,father,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,stair_agnew,New Brunswick,NA,m,1757,1821,unitedstates,law,anglican,election,NA,1792,NA,NA,NA,NA,1795,NA,NA,1,0,john_agnew,son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,stair_agnew,New Brunswick,NA,m,1757,1821,unitedstates,law,anglican,byelection,NA,1795,NA,NA,NA,NA,1821,NA,NA,1,0,john_agnew,son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,stair_agnew,New Brunswick,NA,m,1757,1821,unitedstates,law,anglican,election,NA,1802,NA,NA,NA,NA,1821,NA,NA,1,0,john_agnew,son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
