Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Abbott, Anthony Chisholm",1930-11-26,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Mississauga (1974/07/08 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Abbott, James (Jim) Edward",1942-08-18,"MP (1997/06/02 - 2011/05/01)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2011/05/01
1993/10/25 - 1997/06/01
",NA,"Kootenay--Columbia (1997/06/02 - 2011/05/01)
Kootenay East (1993/10/25 - 1997/06/01)
","British Columbia
British Columbia
",Man,"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","6398 days (17 years, 6 months, 6 days)"
"Ablonczy, Diane",1949-05-06,"MP (1997/06/02 - 2015/10/18)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2015/10/18
1993/10/25 - 1997/06/01
",NA,"Calgary--Nose Hill (1997/06/02 - 2015/10/18)
Calgary North (1993/10/25 - 1997/06/01)
","Alberta
Alberta
",Woman,"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)
","8029 days (21 years, 11 months, 24 days)"
"Aboultaif, Ziad",1966-09-10,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Edmonton Manning (2015/10/19 - )
","Alberta
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Adams, Eve",1974-11-07,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Mississauga--Brampton South (2011/05/02 - 2015/10/18)
","Ontario
",Woman,"Liberal Party of Canada (2015/02/09 - 2015/10/18)
Conservative Party of Canada (2011/05/02 - 2015/02/08)
","1631 days (4 years, 5 months, 18 days)"
"Adams, Peter",1936-04-17,"MP (1993/10/25 - 2006/01/22)
","1993/10/25 - 2006/01/22
",NA,"Peterborough (1993/10/25 - 2006/01/22)
","Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Adams, Willie",1934-06-22,"Senator (1977/04/05 - 2009/06/22)
",NA,"1977/04/05 - 2009/06/22
","Nunavut (1999/04/01 - 2009/06/22)
Northwest Territories (1977/04/05 - 1999/03/31)
","Nunavut
Northwest Territories
",Man,"Liberal Party of Canada (1977/04/05 - 2009/06/22)
","11767 days (32 years, 2 months, 18 days)"
"Addison, John Hollings",1929-12-18,"MP (1962/06/18 - 1968/06/24)
","1962/06/18 - 1968/06/24
",NA,"York North (1962/06/18 - 1968/06/24)
","Ontario
",Man,"Liberal Party of Canada (1962/06/18 - 1968/06/24)
","2199 days (6 years, 8 days)"
"Adler, Mark",1962-03-17,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"York Centre (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Aglukkaq, Leona",1967-06-28,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Nunavut (2008/10/14 - 2015/10/18)
","Nunavut
",Woman,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Aiken, Gordon Harvey",1918-09-26,"MP (1957/06/10 - 1972/10/29)
","1957/06/10 - 1972/10/29
",NA,"Parry Sound--Muskoka (1957/06/10 - 1972/10/29)
","Ontario
",Man,"Progressive Conservative Party (1957/06/10 - 1972/10/29)
","5621 days (15 years, 4 months, 20 days)"
"Aird, John Black",1923-05-05,"Senator (1964/11/10 - 1974/11/28)
",NA,"1964/11/10 - 1974/11/28
","Toronto (1964/11/10 - 1974/11/28)
","Ontario
",Man,"Liberal Party of Canada (1964/11/10 - 1974/11/28)
","3671 days (10 years, 19 days)"
"Aitchison, Scott",1973-01-14,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Parry Sound--Muskoka (2019/10/21 - )
","Ontario
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Alarie, Hélène",1941-06-06,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Louis-Hébert (1997/06/02 - 2000/11/26)
","Quebec
",Woman,"Bloc Québécois (1997/06/02 - 2000/11/26)
","1274 days (3 years, 5 months, 26 days)"
"Albas, Dan",NA,"MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)
","2015/10/19 - 
2011/05/02 - 2015/10/18
",NA,"Central Okanagan--Similkameen--Nicola (2015/10/19 - )
Okanagan--Coquihalla (2011/05/02 - 2015/10/18)
","British Columbia
British Columbia
",Man,"Conservative Party of Canada (2011/05/02 - )
","4697 days (12 years, 10 months, 10 days)"
"Albrecht, Harold",1949-10-15,"MP (2006/01/23 - 2019/10/20)
","2006/01/23 - 2019/10/20
",NA,"Kitchener--Conestoga (2006/01/23 - 2019/10/20)
","Ontario
",Man,"Conservative Party of Canada (2006/01/23 - 2019/10/20)
","5019 days (13 years, 8 months, 28 days)"
"Alcock, Reginald B.",1948-04-16,"MP (1993/10/25 - 2006/01/22)
","1993/10/25 - 2006/01/22
",NA,"Winnipeg South (1993/10/25 - 2006/01/22)
","Manitoba
",Man,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Aldag, John",1963,"MP (2021/09/20 - )
MP (2015/10/19 - 2019/10/20)
","2021/09/20 - 
2015/10/19 - 2019/10/20
",NA,"Cloverdale--Langley City (2021/09/20 - )
Cloverdale--Langley City (2015/10/19 - 2019/10/20)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (2021/09/20 - )
Liberal Party of Canada (2015/10/19 - 2019/10/20)
","2366 days (6 years, 5 months, 23 days)"
"Alexander, Chris",1968-09-09,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Ajax--Pickering (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Alexander, Lincoln MacCauley",1922-01-21,"MP (1968/06/25 - 1980/05/28)
","1968/06/25 - 1980/05/28
",NA,"Hamilton West (1968/06/25 - 1980/05/28)
","Ontario
",Man,"Progressive Conservative Party (1965/11/08 - 1980/05/28)
","4356 days (11 years, 11 months, 3 days)"
"Alghabra, Omar",1969-10-24,"MP (2015/10/19 - )
MP (2006/01/23 - 2008/10/13)
","2015/10/19 - 
2006/01/23 - 2008/10/13
",NA,"Mississauga Centre (2015/10/19 - )
Mississauga--Erindale (2006/01/23 - 2008/10/13)
","Ontario
Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2006/01/23 - 2008/10/13)
","4061 days (11 years, 1 months, 13 days)"
"Alkenbrack, Almonte Douglas",1912-06-02,"MP (1968/06/25 - 1979/05/21)
MP (1962/06/18 - 1968/06/24)
","1968/06/25 - 1979/05/21
1962/06/18 - 1968/06/24
",NA,"Frontenac--Lennox and Addington (1968/06/25 - 1979/05/21)
Prince Edward--Lennox (1962/06/18 - 1968/06/24)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1962/06/18 - 1979/05/21)
","6182 days (16 years, 11 months, 3 days)"
"Allard, Carole-Marie",1949-09-06,"MP (2000/11/27 - 2004/06/27)
","2000/11/27 - 2004/06/27
",NA,"Laval East (2000/11/27 - 2004/06/27)
","Quebec
",Woman,"Liberal Party of Canada (2000/11/27 - 2004/06/27)
","1309 days (3 years, 7 months, 30 days)"
"Allard, Eudore",1915-08-27,"MP (1972/10/30 - 1980/02/17)
","1972/10/30 - 1980/02/17
",NA,"Rimouski (1972/10/30 - 1980/02/17)
","Quebec
",Man,"Social Credit Party of Canada (1972/10/30 - 1980/02/17)
","2667 days (7 years, 3 months, 19 days)"
"Allard, Maurice",1922-01-02,"MP (1965/11/08 - 1968/03/06)
MP (1958/03/31 - 1962/06/17)
","1965/11/08 - 1968/03/06
1958/03/31 - 1962/06/17
",NA,"Sherbrooke (1965/11/08 - 1968/03/06)
Sherbrooke (1958/03/31 - 1962/06/17)
","Quebec
Quebec
",Man,"Independent Progressive Conservative (1965/11/08 - 1968/03/06)
Progressive Conservative Party (1958/03/31 - 1962/06/17)
","2390 days (6 years, 6 months, 16 days)"
"Allen, Malcolm",1953-05-30,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Welland (2008/10/14 - 2015/10/18)
","Ontario
",Man,"New Democratic Party (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Allen, Mike",1960-11-20,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"Tobique--Mactaquac (2006/01/23 - 2015/10/18)
","New Brunswick
",Man,"Conservative Party of Canada (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"Alleslev, Leona",1968-03-16,"MP (2015/10/19 - 2021/09/19)
","2015/10/19 - 2021/09/19
",NA,"Aurora--Oak Ridges--Richmond Hill (2015/10/19 - 2021/09/19)
","Ontario
",Woman,"Conservative Party of Canada (2018/09/17 - 2021/09/19)
Liberal Party of Canada (2015/10/19 - 2018/09/16)
","2163 days (5 years, 11 months, 2 days)"
"Allison, Dean",1965-02-18,"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)
","2015/10/19 - 
2004/06/28 - 2015/10/18
",NA,"Niagara West (2015/10/19 - )
Niagara West--Glanbrook (2004/06/28 - 2015/10/18)
","Ontario
Ontario
",Man,"Conservative Party of Canada (2004/06/28 - )
","7196 days (19 years, 8 months, 13 days)"
"Allmand, William Warren",1932-09-19,"MP (1988/11/21 - 1997/02/24)
MP (1984/09/04 - 1988/11/20)
MP (1965/11/08 - 1984/09/03)
","1988/11/21 - 1997/02/24
1984/09/04 - 1988/11/20
1965/11/08 - 1984/09/03
",NA,"Notre-Dame-de-Grâce (1988/11/21 - 1997/02/24)
Notre-Dame-de-Grâce--Lachine East (1984/09/04 - 1988/11/20)
Notre-Dame-de-Grâce (1965/11/08 - 1984/09/03)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1965/11/08 - 1997/02/24)
","11432 days (31 years, 3 months, 18 days)"
"Althouse, Victor Fredrich (Vic)",1937-04-15,"MP (1988/11/21 - 1997/06/01)
MP (1980/02/18 - 1988/11/20)
","1988/11/21 - 1997/06/01
1980/02/18 - 1988/11/20
",NA,"Mackenzie (1988/11/21 - 1997/06/01)
Humboldt--Lake Centre (1980/02/18 - 1988/11/20)
","Saskatchewan
Saskatchewan
",Man,"New Democratic Party (1980/02/18 - 1997/06/01)
","6314 days (17 years, 3 months, 14 days)"
"Ambler, Stella",1966-09-29,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Mississauga South (2011/05/02 - 2015/10/18)
","Ontario
",Woman,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
