"first_last","province","gender","year_of_birth","year_of_death","year","exit_year","party","gen_cohort","year_range","years_total","sessions_total","start_year","age_start"
"abel_don","Ontario","m",1952,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,38
"adams_peter","Ontario","m",1936,2018,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,51
"aggelonitis_sophia","Ontario","f",1968,NA,2007,2011,"Liberal","GenerationX","1961-1981",4,8,2007,39
"agostino_dominic","Ontario","m",1959,2004,1995,2004,"Liberal","Babyboom","1943-1960",9,18,1995,36
"akande_zanana","Ontario","f",1937,NA,1990,1994,"CCF/NDP","Silent","1925-1942",4,8,1990,53
"albanese_laura","Ontario","f",1957,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,50
"allen_richard","Ontario","m",1929,2019,1981,1995,"CCF/NDP","Silent","1925-1942",14,28,1981,52
"anderson_granville","Ontario","m",1960,NA,2014,2018,"Liberal","Babyboom","1943-1960",4,8,2014,54
"andrewes_philip","Ontario","m",1941,NA,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,40
"angus_iain","Ontario","m",1947,NA,1975,1977,"CCF/NDP","Babyboom","1943-1960",2,4,1975,28
"armstrong_teresa","Ontario","f",1966,NA,2011,2024,"CCF/NDP","GenerationX","1961-1981",13,26,2011,45
"arnott_ted","Ontario","m",1963,NA,1990,2024,"Progressice Conservative","GenerationX","1961-1981",34,68,1990,27
"arthur_ian","Ontario","m",1984,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,34
"arthurs_wayne","Ontario","m",1948,NA,2003,2011,"Liberal","Babyboom","1943-1960",8,16,2003,55
"ashe_george","Ontario","m",1932,2014,1977,1987,"Progressice Conservative","Silent","1925-1942",10,20,1977,45
"baber_roman","Ontario","m",1980,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,38
"bailey_bob","Ontario","m",1951,NA,2007,2024,"Progressice Conservative","Babyboom","1943-1960",17,34,2007,56
"bain_bob","Ontario","m",1946,NA,1975,1977,"CCF/NDP","Babyboom","1943-1960",2,4,1975,29
"baird_john","Ontario","m",1969,NA,1995,2005,"Progressice Conservative","GenerationX","1961-1981",10,20,1995,26
"baker_yvan","Ontario","m",1977,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,37
"balkissoon_bas","Ontario","m",1952,NA,2003,2016,"Liberal","Babyboom","1943-1960",13,26,2003,51
"ballinger_william","Ontario","m",1945,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,42
"barlow_bill","Ontario","m",1931,2020,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,50
"barrett_toby","Ontario","m",1945,NA,1995,2024,"Progressice Conservative","Babyboom","1943-1960",29,58,1995,50
"bartolucci_rick","Ontario","m",1943,NA,1995,2014,"Liberal","Babyboom","1943-1960",19,38,1995,52
"bassett_isabel","Ontario","f",1939,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,56
"beaubien_marcel","Ontario","m",1942,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,53
"beer_charles","Ontario","m",1941,NA,1987,1995,"Liberal","Silent","1925-1942",8,16,1987,46
"begum_doly","Ontario","f",1989,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,29
"ben_george","Ontario","m",1925,1978,1963,1971,"Liberal","Silent","1925-1942",8,16,1963,38
"bennett_claude","Ontario","m",1936,2020,1971,1987,"Progressice Conservative","Silent","1925-1942",16,32,1971,35
"bentley_chris","Ontario","m",1956,NA,2003,2013,"Liberal","Babyboom","1943-1960",10,20,2003,47
"berardinetti_lorenzo","Ontario","m",1961,NA,2003,2018,"Liberal","GenerationX","1961-1981",15,30,2003,42
"bernier_leo","Ontario","m",1928,2010,1963,1987,"Progressice Conservative","Silent","1925-1942",24,48,1963,35
"black_ken","Ontario","m",1932,2016,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,55
"blais_stephen","Ontario","m",1980,NA,2018,2024,"Liberal","GenerationX","1961-1981",6,12,2018,38
"bolan_mike","Ontario","m",1933,2016,1977,1981,"Liberal","Silent","1925-1942",4,8,1977,44
"bossy_maurice","Ontario","m",1929,2008,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,56
"boudria_don","Ontario","m",1949,NA,1981,1984,"Liberal","Babyboom","1943-1960",3,6,1981,32
"bounsall_ted","Ontario","m",1935,NA,1971,1981,"CCF/NDP","Silent","1925-1942",10,20,1971,36
"bountrogianni_marie","Ontario","f",1956,NA,1999,2007,"Liberal","Babyboom","1943-1960",8,16,1999,43
"boushy_dave","Ontario","m",1932,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,63
"boyd_marion","Ontario","f",1946,NA,1990,1999,"CCF/NDP","Babyboom","1943-1960",9,18,1990,44
"boyer_claudette","Ontario","f",1938,2013,1999,2003,"Liberal","Silent","1925-1942",4,8,1999,61
"bradley_jim","Ontario","m",1945,NA,1977,2018,"Liberal","Babyboom","1943-1960",41,82,1977,32
"brandt_andy","Ontario","m",1938,NA,1981,1990,"Progressice Conservative","Silent","1925-1942",9,18,1981,43
"breaugh_mike","Ontario","m",1942,2019,1975,1990,"CCF/NDP","Silent","1925-1942",15,30,1975,33
"breithaupt_james","Ontario","m",1934,2018,1967,1985,"Liberal","Silent","1925-1942",18,36,1967,33
"broten_laurel","Ontario","f",1967,NA,2003,2013,"Liberal","GenerationX","1961-1981",10,20,2003,36
"brown_jim","Ontario","m",1943,2020,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,52
"brown_michaela","Ontario","m",1950,NA,1987,2011,"Liberal","Babyboom","1943-1960",24,48,1987,37
"brown_patrick","Ontario","m",1978,NA,2014,2018,"Progressice Conservative","GenerationX","1961-1981",4,8,2014,36
"brownell_jim","Ontario","m",1948,NA,2003,2011,"Liberal","Babyboom","1943-1960",8,16,2003,55
"bryant_michael","Ontario","m",1966,NA,1999,2009,"Liberal","GenerationX","1961-1981",10,20,1999,33
"buchanan_elmer","Ontario","m",1946,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,44
"bullbrook_james","Ontario","m",1927,1978,1967,1977,"Liberal","Silent","1925-1942",10,20,1967,40
"calandra_paul","Ontario","m",1970,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,48
"callahan_robert","Ontario","m",1937,2020,1985,1995,"Liberal","Silent","1925-1942",10,20,1985,48
"campbell_sarah","Ontario","f",1982,NA,2011,2018,"CCF/NDP","Millenial","1982-2004",7,14,2011,29
"campbell_sterling","Ontario","m",1942,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,45
"cansfield_donna","Ontario","f",1945,NA,2003,2014,"Liberal","Babyboom","1943-1960",11,22,2003,58
"caplan_david","Ontario","m",1964,2019,1995,2011,"Liberal","GenerationX","1961-1981",16,32,1995,31
"caplan_elinor","Ontario","f",1944,NA,1985,1997,"Liberal","Babyboom","1943-1960",12,24,1985,41
"carr_gary","Ontario","m",1955,NA,1990,2003,"Progressice Conservative","Babyboom","1943-1960",13,26,1990,35
"carroll_aileen","Ontario","f",1944,2020,2007,2011,"Liberal","Babyboom","1943-1960",4,8,2007,63
"carroll_jack","Ontario","m",1942,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,53
"carrothers_doug","Ontario","m",1950,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,37
"carter_jenny","Ontario","f",1931,NA,1990,1995,"CCF/NDP","Silent","1925-1942",5,10,1990,59
"cassidy_michael","Ontario","m",1937,NA,1971,1984,"CCF/NDP","Silent","1925-1942",13,26,1971,34
"chambers_mary","Ontario","f",1950,NA,2003,2007,"Liberal","Babyboom","1943-1960",4,8,2003,53
"chan_michael","Ontario","m",1951,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,56
"charlton_brian","Ontario","m",1947,NA,1977,1995,"CCF/NDP","Babyboom","1943-1960",18,36,1977,30
"cho_stan","Ontario","m",1977,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,41
"christopherson_david","Ontario","m",1954,NA,1990,2003,"CCF/NDP","Babyboom","1943-1960",13,26,1990,36
"chudleigh_ted","Ontario","m",1943,NA,1995,2014,"Progressice Conservative","Babyboom","1943-1960",19,38,1995,52
"churley_marilyn","Ontario","f",1948,NA,1990,2005,"CCF/NDP","Babyboom","1943-1960",15,30,1990,42
"cimino_joe","Ontario","m",1969,NA,2014,2014,"CCF/NDP","GenerationX","1961-1981",0,0,2014,45
"clark_brad","Ontario","m",1960,NA,1999,2003,"Progressice Conservative","Babyboom","1943-1960",4,8,1999,39
"clark_steve","Ontario","m",1960,NA,2007,2024,"Progressice Conservative","Babyboom","1943-1960",17,34,2007,47
"cleary_john","Ontario","m",1932,2012,1987,2003,"Liberal","Silent","1925-1942",16,32,1987,55
"clement_john","Ontario","m",1928,2014,1971,1975,"Progressice Conservative","Silent","1925-1942",4,8,1971,43
"clement_tony","Ontario","m",1960,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,35
"coburn_brian","Ontario","m",1945,NA,1999,2003,"Progressice Conservative","Babyboom","1943-1960",4,8,1999,54
"coe_lorne","Ontario","m",1950,NA,2014,2024,"Progressice Conservative","Babyboom","1943-1960",10,20,2014,64
